,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
27,27,2021-12-16,857.049988,860.799988,841.349976,852.150024,848.185669,2918474
28,28,2021-12-17,850.0,851.900024,825.450012,832.400024,828.527588,4227183
29,29,2021-12-20,807.0,825.700012,780.700012,794.099976,790.405701,7418777
30,30,2021-12-21,805.0,818.849976,800.0,814.75,810.959656,3613582
31,31,2021-12-22,820.0,842.599976,819.0,839.75,835.843384,3721795
32,32,2021-12-23,846.700012,847.349976,834.200012,841.349976,837.435852,2917612
33,33,2021-12-24,841.0,842.799988,828.5,837.200012,833.305237,2502607
34,34,2021-12-27,823.0,840.0,823.0,839.0,835.096802,2640676
35,35,2021-12-28,840.700012,876.599976,840.549988,863.5,859.482849,8220616
36,36,2021-12-29,859.450012,864.0,847.0,849.349976,845.398682,3670117
37,37,2021-12-30,846.700012,847.799988,831.099976,833.0,829.124756,3488161
38,38,2021-12-31,834.900024,840.0,829.150024,831.75,827.880615,2712460
39,39,2022-01-03,831.900024,850.0,830.349976,845.650024,841.715942,3501695
40,40,2022-01-04,850.0,853.700012,843.299988,848.049988,844.104736,2496924
41,41,2022-01-05,845.0,847.099976,828.0,840.599976,836.689392,3312721
42,42,2022-01-06,825.0,847.900024,825.0,843.25,839.327087,2842824
43,43,2022-01-07,843.25,888.0,842.450012,860.950012,856.944763,12254034
44,44,2022-01-10,862.5,878.75,862.5,873.450012,869.386597,4778546
45,45,2022-01-11,875.0,883.0,859.150024,862.400024,858.388,3257687
46,46,2022-01-12,868.799988,869.400024,848.25,861.25,857.243347,3419540
47,47,2022-01-13,861.25,874.0,853.049988,868.150024,864.111267,3384510
48,48,2022-01-14,863.900024,908.0,856.700012,902.700012,898.500488,14072932
49,49,2022-01-17,910.0,918.650024,891.25,897.349976,893.175354,6834869
50,50,2022-01-18,899.900024,904.200012,855.900024,861.099976,857.094055,5857768
51,51,2022-01-19,863.5,877.950012,850.299988,875.950012,871.874939,4437914
52,52,2022-01-20,875.75,885.0,865.650024,880.400024,876.30426,3262969
53,53,2022-01-21,873.0,881.0,855.0,861.700012,857.691284,3915909
54,54,2022-01-24,859.5,860.150024,805.0,809.799988,806.032715,7654105
55,55,2022-01-25,809.0,833.0,784.799988,829.900024,826.039185,5090144
