,Date,Open,High,Low,Close,Adj Close,Volume
297,2020-12-21,284.76001,287.5,271.799988,274.700012,273.053375,12783780
298,2020-12-22,274.799988,281.790009,267.290009,279.809998,278.132721,13404085
299,2020-12-23,280.880005,284.700012,275.809998,282.309998,280.617706,8163885
300,2020-12-24,284.200012,285.679993,280.640015,281.790009,280.10083,6214910
301,2020-12-28,284.0,287.660004,282.220001,283.589996,281.890076,6621705
302,2020-12-29,285.200012,285.579987,281.600006,282.160004,280.468628,4642735
303,2020-12-30,284.0,288.600006,281.600006,286.98999,285.269684,8186020
304,2020-12-31,289.0,293.0,286.149994,287.559998,285.836243,13220150
305,2021-01-01,289.399994,291.799988,288.019989,289.0,287.267639,5820940
306,2021-01-04,292.399994,293.600006,289.0,290.209991,288.470367,5262530
307,2021-01-05,288.73999,292.600006,286.290009,291.369995,289.623413,6194675
308,2021-01-06,292.390015,302.980011,289.799988,296.690002,294.91153,21223825
309,2021-01-07,298.799988,301.980011,296.0,297.890015,296.10434,8845040
310,2021-01-08,300.799988,301.959991,292.149994,294.299988,292.535858,7844545
311,2021-01-11,296.470001,296.799988,290.399994,292.140015,290.388794,5149790
312,2021-01-12,292.140015,299.399994,290.799988,296.089996,294.315125,9024105
313,2021-01-13,298.399994,298.709991,288.440002,292.230011,290.478271,5903480
314,2021-01-14,293.690002,296.429993,290.48999,292.619995,290.865906,5618095
315,2021-01-15,293.690002,294.0,287.399994,288.23999,286.512177,4983220
316,2021-01-18,289.690002,292.369995,283.540009,284.670013,282.963593,6329360
317,2021-01-19,287.600006,289.570007,286.559998,288.700012,286.969421,2887500
318,2021-01-20,290.0,291.679993,287.399994,290.540009,288.798401,2870575
319,2021-01-21,292.0,296.630005,290.0,290.899994,289.15625,6042200
320,2021-01-22,290.799988,292.48999,284.619995,286.48999,284.772675,4410035
321,2021-01-25,286.600006,289.089996,283.410004,285.25,283.540131,3497400
322,2021-01-27,286.549988,288.730011,284.450012,287.649994,285.92572,4115535
323,2021-01-28,287.299988,299.73999,286.600006,291.410004,289.663177,14139780
324,2021-01-29,293.600006,295.790009,289.040009,291.220001,289.474304,7003680
325,2021-02-01,293.950012,299.540009,290.230011,291.980011,290.229767,12208490
326,2021-02-02,293.600006,295.600006,292.269989,294.100006,292.337036,5315880
327,2021-02-03,295.480011,299.600006,292.429993,293.869995,292.108429,9312665
328,2021-02-04,294.959991,308.0,292.850006,303.779999,301.959045,11025600
